f_0,f_1,id,weight
191412.07525194966,121427.26200208218,0,1.0
192059.92505690033,121879.55553366328,1,1.0
190229.39439013696,121746.88893724179,2,1.0
191232.34428823806,122266.19132396093,3,1.0
192108.41753226676,120524.22641266517,4,1.0
192311.64879389244,122355.39275752334,5,1.0
191451.2789485536,121949.0884781786,6,1.0
191595.79767106895,121759.33612458243,7,1.0
191221.1178338807,120538.47171891516,8,1.0
191534.76611024124,122305.05253086942,9,1.0
192079.92572413376,121140.7777117205,10,1.0
191817.84671635652,121339.53113883066,11,1.0
189559.7121429562,120018.57718135524,12,1.0
191898.90540942491,122098.93866667326,13,1.0
191057.19628636248,121334.63526468744,14,1.0
192154.33722306628,122211.00626576509,15,1.0
191290.39197427357,121545.87379803433,16,1.0
192180.91490354243,122221.48149848114,17,1.0
191156.87163276877,121434.26485373135,18,1.0
191701.9824445314,122198.4031050315,19,1.0
190745.7954006597,121106.43742850889,20,1.0
191689.21050198845,122581.03753906682,21,1.0
190224.86462289403,120003.0376126992,22,1.0
191943.05991973128,121907.74125126924,23,1.0
190481.9456604455,120725.80939945533,24,1.0
192491.79602658996,121580.63048858843,25,1.0
190720.1754119537,120687.33436334471,26,1.0
192015.81389049257,122485.68656904633,27,1.0
190958.409362315,120653.75435107495,28,1.0
192327.38203076532,121855.29818779198,29,1.0
189765.1895375097,120692.3554046912,30,1.0
192096.57825044185,122305.53047792423,31,1.0
192539.791914528,120684.29768843719,32,1.0
191998.65324514007,121769.97265806649,33,1.0
191410.76404050528,121903.87823457227,34,1.0
192383.62703384444,121152.91681216034,35,1.0
190963.6139066007,121444.76528814902,36,1.0
192180.83214040173,122382.5838277816,37,1.0
191274.92870418556,120934.66306360354,38,1.0
191948.5153798458,122126.61975111865,39,1.0
189987.68064965965,121273.1123977326,40,1.0
192027.30960085863,121973.71247007209,41,1.0
191446.0763590779,120984.55696233473,42,1.0
191568.8476952028,121750.8896850448,43,1.0
191429.02119069741,119900.88337565429,44,1.0
192205.33549480856,122347.09675244914,45,1.0
190334.3188722887,120560.31320596511,46,1.0
192696.3622919679,121749.1506217245,47,1.0
192450.43695157254,120864.00859471541,48,1.0
191397.3011343073,122126.37804065352,49,1.0
191007.22723917142,121298.69420325826,50,1.0
192088.60039508648,122373.31359176448,51,1.0
189877.62905158487,122169.45621314575,52,1.0
192079.7871861842,121798.8125411841,53,1.0
190385.7412722765,121777.67926179398,54,1.0
192389.8220013642,121205.98226156723,55,1.0
190557.27235780162,120561.0446481914,56,1.0
192238.0078441016,122198.95126220405,57,1.0
190907.63365596623,120419.23917686364,58,1.0
191850.7784620847,121551.18962567093,59,1.0
191725.14250141845,120475.68940947509,60,1.0
192741.5020893896,121915.99932340307,61,1.0
191541.33064598488,120940.49607460933,62,1.0
192647.12507385624,121874.59544699409,63,1.0
190992.9427399224,120649.61160696902,64,1.0
192087.64357057796,121346.40293131773,65,1.0
191955.59930168395,121225.29145664866,66,1.0
191908.72702670854,122435.80319684814,67,1.0
191736.1091581094,121288.09324737551,68,1.0
192236.29342735148,122503.0973721481,69,1.0
191387.88985009087,121956.97504069043,70,1.0
191962.7259183427,121735.68763091615,71,1.0
191185.41662954818,121485.81557828945,72,1.0
192068.21746641296,122471.17928123791,73,1.0
190793.0314809476,119800.43092946014,74,1.0
192262.99236796127,122002.56963366276,75,1.0
191245.778616394,120390.51251251799,76,1.0
192004.0040474774,121826.15620280564,77,1.0
191969.98546899835,121598.70473316485,78,1.0
191650.0695987849,122425.52799256265,79,1.0
190924.56034536782,121529.9454765499,80,1.0
191699.21838092527,121609.71830170843,81,1.0
192187.25216360475,121852.20284093686,82,1.0
192112.396248844,121759.52995480514,83,1.0
190272.39876314288,120704.90557577927,84,1.0
191973.45697025984,121738.54113533667,85,1.0
191399.64971699362,120958.41146278824,86,1.0
191829.0577903031,121793.02530371677,87,1.0
191078.08222890616,120490.3129824859,88,1.0
191867.7470169504,121923.02953070367,89,1.0
191705.68329046358,120955.35215239823,90,1.0
191754.75251423602,121955.21032735756,91,1.0
190327.8327714105,122010.76768652731,92,1.0
192457.50404842527,121927.57539744931,93,1.0
191635.6200381193,121264.81263817236,94,1.0
191810.35407837087,121834.67295365628,95,1.0
190790.04743065135,120758.39585238938,96,1.0
191952.5235555995,122386.73357952009,97,1.0
191205.8253603355,121494.92115708209,98,1.0
192124.60789275132,121637.14565794061,99,1.0
191169.0556740485,121815.84698648119,100,1.0
